board,trajectories,evaluations,best_move
"8| . . . . . k . .
7| . p . P . . p p
6| p b . p . . . .
5| P . . . p . . .
4| . P . . . . . .
3| . . . . . . . P
2| . . . P . P P .
1| . . . . . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 27","['b6d8 f1e1 f8e7 d2d4 e7d7', 'b6c7 f1c1 c7d8 c1c8 f8e7']","['4.28 (centipawns)', '5.57 (centipawns)']",b6d8
"8| . . . r . . . .
7| p k p . . . R .
6| . . . . . . . .
5| . p . . . p . .
4| . . b . . . . r
3| . . n . P . . .
2| . P . . . . . .
1| . . K . . . R .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 28","['b2c3 d8d3 g7g2 d3c3 c1d2', 'g1e1 c3e4 g7g2 h4h6 b2b3']","['-7.95 (centipawns)', '-9.58 (centipawns)']",b2c3
"8| r . . q k . . r
7| p p . . b p p p
6| . . n . p n . .
5| . B p p . . . .
4| . . . . . P b .
3| . P . P P N . .
2| P B P . . . P P
1| R N . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 8","['a8c8 h2h3 g4f3 d1f3 e8g8', 'd8c7 b1d2 e8g8 b5c6 c7c6', 'd8d6 b1d2 e8g8 b5c6 d6c6', 'd8b6 b5c6 b6c6 b1d2 e8g8']","['0.19 (centipawns)', '0.31 (centipawns)', '0.34 (centipawns)', '0.29 (centipawns)']",a8c8
"8| r . . . r k . .
7| p . b . . p . p
6| . p p . p . . .
5| . . P p . . . .
4| . . . . P . . .
3| . . N B R . . .
2| P P . . . P P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['e4d5 c6d5 c5b6 c7b6 e3e2', 'c5b6 a7b6 e4d5 c6d5 e3e2']","['4.66 (centipawns)', '4.75 (centipawns)']",e4d5
"8| . r . . . . k .
7| . . . . . p . .
6| p . . . . . . p
5| . p . . . . p .
4| . . b . . . . .
3| . . B . . . P .
2| . . . . . P . P
1| R . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 35",['a1a6 b8d8 f2f4 g8h7 c3e5'],['-0.62 (centipawns)'],a1a6
"8| r . . q . r k .
7| p p p . n p . p
6| . . . . . p b b
5| . . . P p . . .
4| . . B . P . . .
3| P . N . . . . P
2| . P . . N P P .
1| R . . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 12","['f6f5 d1c2 f5e4 c3e4 e7f5', 'g8h8 g2g4 f8g8 e2g3 e7c8']","['-0.59 (centipawns)', '0.50 (centipawns)']",f6f5
"8| . . r . r . k .
7| . p p . . p p n
6| . p . p . n . p
5| . P . P . . . .
4| . . . . P . . B
3| P . . . . . . .
2| . . . N . P P P
1| R . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['f6d7 f2f3 f7f5 e4f5 e8e1', 'c8a8 f2f3 f6d7 d2c4 a8a4', 'g7g5 h4g3 f6d7 f2f3 f7f5', 'f6g4 f2f3 g4e5 a3a4 h7f8']","['0.06 (centipawns)', '0.28 (centipawns)', '0.37 (centipawns)', '0.39 (centipawns)']",f6d7
"8| r . . . k b n r
7| p p . b . p p p
6| . . n . p . . .
5| . . p p . . . .
4| . . . P . . . .
3| P . P . P . P .
2| . q . B N P B P
1| R N . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 9","['b2a1 c3c4 g8f6 c4d5 e6d5', 'g8f6 e3e4 d5e4 d4d5 e6d5']","['-4.24 (centipawns)', '-4.51 (centipawns)']",b2a1
"8| . . . . k . . r
7| . . . p . p . .
6| . . n . p . . .
5| . . . b P . p p
4| . . p P . . . .
3| P . . . . N . P
2| . . . . B P P .
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 22","['g5g4 h3g4 h5g4 f3h2 c6d4', 'e8e7 f1d1 c4c3 f3e1 d5b3']","['-3.95 (centipawns)', '-3.10 (centipawns)']",g5g4
"8| . . . . r r k .
7| p . p . . . p .
6| . p . . . q . .
5| . . . R . p p .
4| . P P . . P . .
3| P . . . p . P .
2| . . . . Q . . P
1| . . . R . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 26","['f4g5 f6g5 c4c5 b6b5 d1f1', 'd5d3 g5f4 g3f4 f6g6 e2g2', 'd5d4 g5f4 d4f4 e8e5 f4d4']","['-1.78 (centipawns)', '-2.35 (centipawns)', '-2.38 (centipawns)']",f4g5
"8| r n . q k . n r
7| p b p p . p p p
6| . p . . p . . .
5| . N . . . . . .
4| . b . P . B . .
3| . . . . . . . .
2| P P P . P P P P
1| R . . Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 5",['c2c3 b4d6 f4d6 c7d6 b5d6'],['3.13 (centipawns)'],c2c3
"8| . . . . r . k .
7| p p p . . p . p
6| . . . . . . p .
5| . . . . n . . .
4| . . . . . . . .
3| . . Q . . . . N
2| P P . . . K P P
1| . . . . R . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 20","['f7f6 e1e5 e8e5 h3f4 e5f5', 'e5g4 f2g1 g4f6 e1e8 f6e8']","['8.12 (centipawns)', '7.67 (centipawns)']",f7f6
"8| . . . . . . . .
7| . p . . . . . .
6| p . . . . . k p
5| . . . . . p p .
4| . . . . . . . P
3| . . P . B n P .
2| P P . . K . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 40","['f3e5 h4g5 h6g5 e3d4 e5c6', 'f3h2 h4g5 h6g5 b2b4 h2g4']","['-0.10 (centipawns)', '-0.04 (centipawns)']",f3e5
"8| . . k . . b . r
7| p r . . . . n .
6| . . N . . . . p
5| . P p R p . . .
4| P . . . . . . .
3| . . . . . . . .
2| . P . . . . P P
1| . . K . R . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 28","['d5d8 c8c7 e1e5 c7b6 d8a8', 'c1b1 b7d7 d5d7 c8d7 c6e5']","['1.72 (centipawns)', '0.14 (centipawns)']",d5d8
"8| r . b . . r k .
7| . p p . n . p p
6| p q p . . p . .
5| . . . . . P . .
4| . . . . P B . .
3| . . N . . . . .
2| P P P . . . P P
1| R . . Q . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 14","['d1d3 c6c5 d3g3 b6c6 a1d1', 'd1f3 c6c5 a1d1 g8h8 f3g3', 'f1f3 g8h8 f3d3 e7g8 h2h3', 'd1e1 b6b2 f4c7 b2b4 a1d1']","['2.88 (centipawns)', '2.90 (centipawns)', '3.12 (centipawns)', '3.34 (centipawns)']",d1d3
"8| . k . . . b r .
7| . q . r n . . .
6| . p . p N . . p
5| . P . . p P . .
4| . . N . . . p .
3| . . . . . . P .
2| . Q . . . P . P
1| R . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 27","['e7c8 a1a6 e5e4 f1a1 f8g7', 'f8g7 a1a6 e7c8 f1a1 e5e4', 'e5e4 a1a6 e7d5 f1a1 f8g7', 'h6h5 a1a6 f8g7 c4b6 e7d5']","['7.71 (centipawns)', '7.56 (centipawns)', '7.75 (centipawns)', '10.75 (centipawns)']",e7c8
"8| . . . . r . k .
7| p r . . . p p .
6| . . . . . . . p
5| . . . . . . . .
4| . . . . R . . .
3| . . . . . . . .
2| P P . . . P P b
1| R . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 23","['g1h2 e8e4 b2b3 g8h7 a1d1', 'g1h1 e8e4 h1h2 b7b2 f2f3']","['-6.73 (centipawns)', '-6.93 (centipawns)']",g1h2
"8| . r . . . . . b
7| . . . . . . k .
6| . . n N . . b p
5| . p . . . . p n
4| . P . . . . . .
3| . . . . . P . .
2| . . . . . B P P
1| . . . R R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 26","['d1d5 h5f4 d5b5 b8b5 d6b5', 'e1e6 h5f4 d6f5 g6f5 e6c6', 'd1c1 c6b4 c1c7 g7g8 e1c1', 'g2g3 g7h7 d1d5 b8d8 e1d1']","['0.00 (centipawns)', '-0.01 (centipawns)', '-0.06 (centipawns)', '-0.13 (centipawns)']",d1d5
"8| r . . q . r k .
7| . . . . p p b p
6| p . . p . n p .
5| . p . . n . . .
4| . . . p P . . .
3| . . N . B . . P
2| P P P Q B P P .
1| R . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 14","['d2d4 a8b8 a1d1 d8c7 a2a3', 'e3d4 e5c6 d4e3 b5b4 c3a4']","['-0.07 (centipawns)', '-0.22 (centipawns)']",d2d4
"8| . . . r . . . k
7| p . q r . p p .
6| . p . . p . . .
5| . . . . . . . .
4| . . P B Q . . .
3| . P . . . . . .
2| P . . . . P P P
1| . R . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 23",['d7d4 e4f3 d4d3 f3h5 h8g8'],['0.08 (centipawns)'],d7d4
"8| r n b q k b . r
7| p p p p . p p p
6| . . . . p n . .
5| . . . . . . . .
4| . . . P . . . .
3| . . N . . . . .
2| P P P . P P P P
1| R . B Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 3","['e2e4 d7d5 e4e5 f6d7 f2f4', 'd1d3 d7d5 e2e4 c7c5 e4d5', 'c1f4 d7d5 c3b5 b8a6 e2e3', 'c1g5 f8e7 e2e4 f6e4 g5e7']","['0.35 (centipawns)', '0.05 (centipawns)', '0.02 (centipawns)', '-0.17 (centipawns)']",e2e4
"8| . . . . . b . .
7| p k . n . . p p
6| . p . . . p . .
5| . . . . p P . .
4| . R . . P . . P
3| . . . B B . P .
2| . . . . . . . .
1| . . r . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 34",['e3c1 f8b4 g1f1 b7c6 d3c4'],['-3.13 (centipawns)'],e3c1
"8| r n b q k b n r
7| p p p . . p p p
6| . . . . p . . .
5| . . . p . . . .
4| . . . . . . . .
3| . . P . P . . .
2| P P . P . P P P
1| R N B Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 3","['d2d4 g8f6 f1d3 b8d7 f2f4', 'g1f3 f8d6 d2d4 g8f6 f1d3', 'c3c4 g8f6 g1f3 f8d6 d2d4', 'a2a3 g8f6 d2d4 f8d6 b1d2']","['-0.13 (centipawns)', '-0.16 (centipawns)', '-0.16 (centipawns)', '-0.27 (centipawns)']",d2d4
"8| . . . . . . . .
7| p . p . . p p .
6| . p P . . n . p
5| . . . . K . . P
4| . k . . . P . .
3| . . . . . . . .
2| . P . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 35","['b4c5 e5f5 c5b4 f5e5 f6h5', 'b4b3 f4f5 b3b2 e5d4 b2b3']","['Mate in -19', 'Mate in -17']",b4c5
"8| . . . . . r k .
7| p p . R . p p .
6| . . . . . . . .
5| . . p . p . . b
4| . . . . P . . .
3| . . N . . . . P
2| P P P . . P . .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 22","['b7b5 d7c7 b5b4 c3d5 h5f3', 'f8b8 g1g2 f7f6 d7c7 c5c4']","['0.63 (centipawns)', '1.17 (centipawns)']",b7b5
"8| . . . . . . . .
7| . . . . . . . .
6| . p p p . . . .
5| p N . . k . . .
4| . . . . P p . r
3| . . . P . K n .
2| P P P . . . . .
1| R . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 41","['b5a7 c6c5 c2c3 h4h2 d3d4', 'd3d4 e5e6 b5c3 g3h5 a1g1', 'b5c3 h4h2 a1d1 h2c2 d3d4', 'b5a3 b6b5 c2c3 h4h2 d3d4']","['0.13 (centipawns)', '0.00 (centipawns)', '-0.08 (centipawns)', '-0.09 (centipawns)']",b5a7
"8| . . k . r . . r
7| p p . q . . p .
6| . . p . . P . .
5| . . n p . . . .
4| P . . . . . P p
3| . Q P . P P . .
2| . P . N K . . P
1| R . . . . R . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 25","['b3b4 c5e6 f6g7 d7g7 e2f2', 'b3a3 c5e6 f6g7 d7g7 e2d1', 'b3c2 g7f6 b2b4 c5e6 a1e1']","['0.53 (centipawns)', '0.56 (centipawns)', '0.26 (centipawns)']",b3b4
"8| . . . . . r . .
7| . . . . . . . k
6| . . R . . P p p
5| . . . . . . . .
4| p . . . . . . B
3| p . P . . . . .
2| P . B . . . P P
1| . . . . . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 35","['c6c7 h7g8 c2g6 h6h5 f1e1', 'h1g1 h6h5 c6c7 h7h6 f1e1', 'f1b1 h6h5 c6c7 h7h6 b1b5', 'f1a1 h6h5 c6c7 h7h6 a1e1']","['Mate in -4', 'Mate in -6', 'Mate in -2', 'Mate in -6']",c6c7
"8| r n . q k . n r
7| p p . . . . b p
6| . . p . . . p .
5| . . . p p b . .
4| . . . . . . . .
3| . . N P . Q . .
2| P P P . . P P P
1| R . B . K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 8","['g2g4 f5e6 f3g3 g8f6 f1h3', 'h2h4 h7h5 f3g3 g8h6 f1e2', 'f3d1 d8e7 c3e2 b8a6 e2g3', 'c3e2 h7h5 h2h3 b8a6 g2g4']","['-1.33 (centipawns)', '-0.96 (centipawns)', '-1.17 (centipawns)', '-1.47 (centipawns)']",g2g4
"8| . . . r . . n r
7| p . p k . p p p
6| . . p . p . . .
5| . . b . . q N .
4| . . . . . P . .
3| P . . P . . . .
2| . P P B . . P P
1| R . . Q . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 15","['h7h5 d2c3 g8e7 c3g7 h8g8', 'd7e8 d2c3 e8f8 g5e4 c5e7', 'g8e7 g2g4 f5d5 f1f3 d7e8', 'c5b6 g5f3 d7e8 f1e1 g8e7']","['2.08 (centipawns)', '2.15 (centipawns)', '2.38 (centipawns)', '2.01 (centipawns)']",h7h5
"8| . . K . . . . .
7| . . . . . . . .
6| . . . . . . . .
5| . r . . . . . .
4| . . . . . . . .
3| k . . . . . . .
2| . . . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 54","['b5d5 c8c7 a3b4 c7c6 d5d1', 'b5b1 c8d7 b1e1 d7d6 a3b4', 'a3b3 c8d7 b5e5 d7d6 e5e1', 'a3a4 c8d7 b5h5 d7e7 a4b5']","['Mate in -6', 'Mate in -14', 'Mate in -13', 'Mate in -14']",b5d5
"8| r . . . k . . r
7| . p p . b p p p
6| . . q p b n . .
5| . . . . p . . .
4| p P P . P . . P
3| . . . P B P P .
2| P . . . N . B .
1| R . . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 15","['e8g8 d1d2 b7b5 f1c1 c6b7', 'b7b5 e2c3 b5c4 b4b5 c6d7', 'c6a6 d1d2 c7c6 a1b1 b7b5', 'a4a3 b4b5 c6d7 a1c1 d7d8']","['0.43 (centipawns)', '0.53 (centipawns)', '0.46 (centipawns)', '0.78 (centipawns)']",e8g8
"8| r . . . . . . .
7| p p p k b . . .
6| . . n p . p . .
5| . . . . . . . .
4| . . . . b . . .
3| . . Q . P . P .
2| P P P B . P . .
1| R N . . . K N q
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 22","['f1e2 h1g1 d2e1 g1g2 c3b3', 'c3d3 h1g2 f1e2 e4d3 c2d3']","['-5.83 (centipawns)', '-7.55 (centipawns)']",f1e2
"8| . r . . . . k .
7| Q . . . . . p .
6| . . . . q . . p
5| . . . . . . . P
4| . p r . p R . .
3| . . . p P . P .
2| . P . R . P . .
1| . K . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 31","['b8c8 a7f7 e6f7 f4f7 g8f7', 'e6c8 a7f7 g8h8 f7f8 c8f8']","['-11.83 (centipawns)', '-9.66 (centipawns)']",b8c8
"8| . . r r . . k .
7| p . . . q . b p
6| . . . . p . p .
5| . . . . . p . .
4| . . . p . . . .
3| P . . . P P . P
2| . B . . Q P R K
1| R . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 27","['e3d4 e7c7 g2g3 c7c4 a1e1', 'b2d4 e7c7 h2g1 e6e5 d4b2']","['-1.12 (centipawns)', '-1.34 (centipawns)']",e3d4
"8| r . . . r . k .
7| p p p . . p p p
6| . . n . b . . .
5| . . . . N . . .
4| . . . . . P . .
3| . . Q B . . . .
2| P . P . . . P P
1| . R . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 16","['e6d5 d3c4 a8d8 g1h1 d5c4', 'e6a2 b1e1 a2d5 d3h7 g8h7', 'c6e5 f4e5 a8d8 g1h1 d8d5']","['7.75 (centipawns)', '7.42 (centipawns)', '7.27 (centipawns)']",e6d5
"8| r . b q . r k .
7| p p . . . p b .
6| . . . P . n p .
5| . . . . p . . p
4| . . B n P . . .
3| . . N . B P . .
2| P P P Q . . P P
1| R . . . K . N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 11","['g1e2 c8e6 c4e6 d4e6 e1c1', 'e1c1 d8d6 g1e2 d6c7 c4d5', 'c4b3 d8d6 g1e2 f8d8 e1c1']","['2.96 (centipawns)', '2.40 (centipawns)', '2.08 (centipawns)']",g1e2
"8| r . b q k b n r
7| p p . . . p p .
6| . . n p p . . p
5| . . . . . . . .
4| . . B . P . . .
3| . . N . . N . .
2| P P . . Q P P P
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 8","['g8f6 c1f4 e6e5 a1d1 c8d7', 'c8d7 c1f4 g8f6 a1d1 e6e5', 'a7a6 c1f4 g8e7 f4g3 e7g6', 'e6e5 f1d1 g8f6 b2b4 a7a6']","['0.00 (centipawns)', '0.00 (centipawns)', '0.08 (centipawns)', '0.27 (centipawns)']",g8f6
