board,trajectories,evaluations,best_move
"8| . . . . r r k .
7| p . p . . . p .
6| . p . . . q . .
5| . . . R . p p .
4| . P P . . P . .
3| P . . . p . P .
2| . . . . Q . . P
1| . . . R . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 26","['f4g5 f6g5 c4c5 b6b5 d1f1', 'e2f3 g5f4 g3f4 e8e4 d1e1', 'd5d4 g5f4 d4f4 e8e5 f4d4', 'd1e1 g5f4 g3f4 e8e4 d5e5', 'd1d4 g5f4 d4f4 e8e4 f4f3']","['-1.60 (centipawns)', '-3.53 (centipawns)', '-2.34 (centipawns)', '-3.31 (centipawns)', '-2.76 (centipawns)']",f4g5
"8| r n . q k . n r
7| p b p p . p p p
6| . p . . p . . .
5| . N . . . . . .
4| . b . P . B . .
3| . . . . . . . .
2| P P P . P P P P
1| R . . Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 5","['c2c3 b4d6 f4d6 c7d6 b5d6', 'f4d2 b4d2 d1d2 g8f6 d2f4', 'b5c3 g8f6 f4d2 e8g8 e2e3']","['3.13 (centipawns)', '-0.42 (centipawns)', '-0.81 (centipawns)']",c2c3
"8| . . . . r . k .
7| p p p . . p . p
6| . . . . . . p .
5| . . . . n . . .
4| . . . . . . . .
3| . . Q . . . . N
2| P P . . . K P P
1| . . . . R . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 20","['f7f6 f2f1 e8e7 h3f2 e7f7', 'e5g4 f2g3 e8e1 c3e1 h7h5', 'h7h6 e1e5 e8d8 c3c7 d8f8', 'a7a5 e1e5 e8f8 c3c7 a5a4', 'e8f8 e1e5 c7c5 c3c5 a7a6']","['-7.46 (centipawns)', '-8.74 (centipawns)', '-10.74 (centipawns)', '-11.96 (centipawns)', '-10.70 (centipawns)']",f7f6
"8| . . . . . . . .
7| . p . . . . . .
6| p . . . . . k p
5| . . . . . p p .
4| . . . . . . . P
3| . . P . B n P .
2| P P . . K . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 40","['f3h2 h4g5 h6g5 c3c4 h2g4', 'g5g4 a2a4 f3e5 b2b4 h6h5', 'f3e5 h4g5 h6g5 e3d4 g6f6', 'f3h4 g3h4 f5f4 e3b6 g6f5', 'f5f4 e2f3 f4e3 h4g5 g6g5', 'g5h4 e2f3 h4g3 f3g3 h6h5']","['0.00 (centipawns)', '-1.05 (centipawns)', '0.05 (centipawns)', '-4.02 (centipawns)', '-3.94 (centipawns)', '-5.19 (centipawns)']",f3h2
"8| . . k . . b . r
7| p r . . . . n .
6| . . N . . . . p
5| . P p R p . . .
4| P . . . . . . .
3| . . . . . . . .
2| . P . . . . P P
1| . . K . R . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 28","['d5d8 c8c7 e1e5 c7b6 d8a8', 'a4a5 f8e7 a5a6 b7c7 c1b1', 'e1e2 f8e7 c1b1 b7c7 d5e5']","['1.89 (centipawns)', '0.58 (centipawns)', '-0.06 (centipawns)']",d5d8
"8| r . b . . r k .
7| . p p . n . p p
6| p q p . . p . .
5| . . . . . P . .
4| . . . . P B . .
3| . . N . . . . .
2| P P P . . . P P
1| R . . Q . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 14","['f1f3 g8h8 b2b3 e7g8 f3h3', 'd1e2 c6c5 a1d1 b6c6 f1f3', 'd1f3 c6c5 a1d1 b6c6 f3g3', 'b2b3 c6c5 f1f3 b6c6 f3h3', 'a2a3 c6c5 f1f3 g8h8 f3h3', 'd1d3 c6c5 d3g3 b6c6 a1d1']","['2.93 (centipawns)', '2.23 (centipawns)', '2.90 (centipawns)', '2.46 (centipawns)', '2.64 (centipawns)', '2.93 (centipawns)']",f1f3
"8| . k . . . b r .
7| . q . r n . . .
6| . p . p N . . p
5| . P . . p P . .
4| . . N . . . p .
3| . . . . . . P .
2| . Q . . . P . P
1| R . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 27","['e7c8 a1a6 d6d5 c4e5 f8g7', 'f8g7 a1a6 e7c8 f1a1 e5e4', 'h6h5 c4e5 f8g7 e5d7 b7d7', 'g8g5 a1a6 e7c8 f1a1 g5f5', 'd7c7 c4d6 b7f3 e6c7 e7c8', 'b7a7 a1a7 d7a7 c4d6 f8g7']","['-8.21 (centipawns)', '-7.62 (centipawns)', '-7.87 (centipawns)', '-8.13 (centipawns)', 'Mate in -13', '-9.07 (centipawns)']",e7c8
"8| . . . . r . k .
7| p r . . . p p .
6| . . . . . . . p
5| . . . . . . . .
4| . . . . R . . .
3| . . . . . . . .
2| P P . . . P P b
1| R . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 23","['g1h2 e8e4 b2b3 g8h7 a1d1', 'g1f1 e8e4 b2b3 e4f4 a1c1', 'g1h1 e8e4 h1h2 b7b2 f2f3']","['-6.73 (centipawns)', '-7.93 (centipawns)', '-6.94 (centipawns)']",g1h2
"8| . r . . . . . b
7| . . . . . . k .
6| . . n N . . b p
5| . p . . . . p n
4| . P . . . . . .
3| . . . . . P . .
2| . . . . . B P P
1| . . . R R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 26","['d1d5 c6b4 d5b5 b8b5 d6b5', 'f2e3 g7g8 d1d5 b8d8 e1d1', 'd1c1 c6b4 c1c7 g7g8 e1c1', 'e1e3 h5f4 e3a3 g7g8 f2c5', 'h2h4 h5f4 h4g5 h6g5 f2c5', 'e1e6 h5f4 d6f5 g6f5 e6c6']","['0.00 (centipawns)', '-0.30 (centipawns)', '-0.12 (centipawns)', '-0.95 (centipawns)', '-0.16 (centipawns)', '-0.06 (centipawns)']",d1d5
"8| r . . q . r k .
7| . . . . p p b p
6| p . . p . n p .
5| . p . . n . . .
4| . . . p P . . .
3| . . N . B . . P
2| P P P Q B P P .
1| R . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 14","['d2d4 e5d7 d4d1 d8c7 a2a3', 'e3d4 e5c6 d4e3 b5b4 c3a4', 'c3d5 d4e3 d5f6 g7f6 d2e3', 'e2f1 d4e3 d2e3 d8c7 c3d5', 'e1c1 d4e3 d2e3 e7e6 c1d1', 'a1d1 d4e3 d2e3 d8c7 a2a4']","['-0.10 (centipawns)', '-0.28 (centipawns)', '-5.42 (centipawns)', '-5.24 (centipawns)', '-5.97 (centipawns)', '-5.34 (centipawns)']",d2d4
"8| . . . r . . . k
7| p . q r . p p .
6| . p . . p . . .
5| . . . . . . . .
4| . . P B Q . . .
3| . P . . . . . .
2| P . . . . P P P
1| . R . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 23","['d7d4 e4f3 d4d3 f3h5 h8g8', 'f7f5 e4e5 c7c6 d4e3 d7d3', 'd8c8 d4e5 c7c5 b1d1 c8d8']","['-0.14 (centipawns)', '-4.99 (centipawns)', '-5.51 (centipawns)']",d7d4
"8| r n b q k b . r
7| p p p p . p p p
6| . . . . p n . .
5| . . . . . . . .
4| . . . P . . . .
3| . . N . . . . .
2| P P P . P P P P
1| R . B Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 3","['e2e4 d7d5 c1g5 d5e4 c3e4', 'b2b3 d7d5 e2e3 c7c5 c1b2', 'h2h4 d7d5 c1f4 f8b4 e2e3', 'c1f4 f8b4 d1d3 c7c5 d4c5', 'c1d2 d7d5 e2e3 c7c5 g1f3']","['0.31 (centipawns)', '-0.38 (centipawns)', '-0.33 (centipawns)', '0.10 (centipawns)', '-0.21 (centipawns)']",e2e4
"8| . . . . . b . .
7| p k . n . . p p
6| . p . . . p . .
5| . . . . p P . .
4| . R . . P . . P
3| . . . B B . P .
2| . . . . . . . .
1| . . r . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 34","['e3c1 f8b4 g1f1 b7c6 d3c4', 'g1f2 c1c3 d3b5 f8b4 b5d7', 'g1g2 c1c3 b4b5 c3d3 e3f2']","['-3.13 (centipawns)', '-6.17 (centipawns)', '-7.21 (centipawns)']",e3c1
"8| r n b q k b n r
7| p p p . . p p p
6| . . . . p . . .
5| . . . p . . . .
4| . . . . . . . .
3| . . P . P . . .
2| P P . P . P P P
1| R N B Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 3","['d2d4 g8f6 g1f3 b8d7 f1e2', 'f2f4 f8d6 g1f3 g8f6 d2d4', 'a2a3 g8f6 d2d4 f8d6 c3c4', 'g1f3 g8f6 d2d4 b8d7 f1e2', 'f1e2 e6e5 d2d4 e5e4 c3c4', 'g1e2 g8f6 d2d4 c7c5 g2g3']","['-0.20 (centipawns)', '-0.16 (centipawns)', '-0.26 (centipawns)', '-0.20 (centipawns)', '-0.12 (centipawns)', '-0.31 (centipawns)']",d2d4
"8| . . . . . . . .
7| p . p . . p p .
6| . p P . . n . p
5| . . . . K . . P
4| . k . . . P . .
3| . . . . . . . .
2| . P . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 35","['f6h5 e5d4 b4b3 f4f5 h5f6', 'f6g4 e5d4 g4f6 f4f5 b4b3', 'f6g8 e5d4 g8f6 d4e3 f6h5', 'b6b5 e5d4 f6h5 d4e3 b4b3', 'b4a5 e5d4 a5b4 d4e3 b4b3', 'a7a6 f4f5 f6h5 e5e4 b4b3']","['Mate in 17', 'Mate in 20', 'Mate in 19', 'Mate in 20', 'Mate in 20', 'Mate in 19']",f6h5
"8| . . . . . r k .
7| p p . R . p p .
6| . . . . . . . .
5| . . p . p . . b
4| . . . . P . . .
3| . . N . . . . P
2| P P P . . P . .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 22","['b7b5 d7c7 b5b4 c3d5 h5f3', 'a7a6 d7b7 f8d8 b7b6 h5f3', 'c5c4 d7b7 h5f3 g1f1 f8d8', 'g7g6 d7b7 f8d8 c3d5 g8g7', 'f7f6 d7b7 f8f7 b7b8 f7f8']","['-0.57 (centipawns)', '-2.20 (centipawns)', '-1.98 (centipawns)', '-2.18 (centipawns)', '-1.76 (centipawns)']",b7b5
"8| . . . . . . . .
7| . . . . . . . .
6| . p p p . . . .
5| p N . . k . . .
4| . . . . P p . r
3| . . . P . K n .
2| P P P . . . . .
1| R . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 41","['d3d4 e5e6 b5c3 g3h5 a1g1', 'b5c7 g3h5 a1g1 h4h3 f3g2', 'b5a7 c6c5 c2c3 h4h3 a7c6', 'b5a3 b6b5 c2c3 h4h2 d3d4', 'b5c3 h4h2 a1d1 h2c2 d3d4', 'a1e1 c6b5 c2c3 e5f6 c3c4']","['0.00 (centipawns)', '-0.29 (centipawns)', '0.03 (centipawns)', '-0.11 (centipawns)', '-0.02 (centipawns)', '-5.04 (centipawns)']",d3d4
