board,trajectories,evaluations,best_move
"8| . . k r . . . r
7| . . p . . p . p
6| p . . . . . p .
5| . . . P b . . .
4| . P P . R . . .
3| N . . . . . . P
2| P . . . . P . .
1| . K . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 26",['e4e5 h8e8 e5g5 e8e2 a3c2'],['-3.91 (centipawns)'],e4e5
"8| r n . q . r k .
7| . p . b b p p .
6| . . . . p n . p
5| . N . p . . . .
4| . . . . . . . .
3| . . . . P . . .
2| . . P P N P P P
1| . R B Q K B . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 12","['e2g3 a8a5 b5d4 e6e5 d4f5', 'e2d4 b8c6 c1b2 e6e5 d4f3', 'e2g1 f6e4 c1b2 a8a5 b5d4', 'e2c3 e6e5 f1e2 b8c6 d2d4']","['-0.17 (centipawns)', '-0.45 (centipawns)', '-0.60 (centipawns)', '-0.50 (centipawns)']",e2g3
"8| r . . . n N k .
7| p b . n . . . .
6| . p q p . . . .
5| . . . . p . . p
4| . . . . . . . .
3| . . P . . P . R
2| P P . . . . P P
1| R . b Q . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['d1c1 g8f8 h3h5 e8f6 c1h6', 'a1c1 g8f8 h3h5 e8f6 h5h8', 'f8g6 c1e3 g1h1 g8f7 d1d3', 'h3g3 g8f8 d1c1 f8e7 c1h6']","['-4.21 (centipawns)', '-4.47 (centipawns)', '-4.46 (centipawns)', '-4.57 (centipawns)']",d1c1
"8| . . . . . . . .
7| . . . . . . . p
6| p . . . . . . .
5| . p . b . k p .
4| . . p . . . . P
3| . . P . . P P .
2| P P . . . K . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 34","['g5h4 g3h4 f5f4 f2e1 d5f3', 'g5g4 f3g4 f5g4 f2e3 g4g3']","['-7.43 (centipawns)', '-6.78 (centipawns)']",g5h4
"8| . q r . r . k .
7| . p . . . p b p
6| p . . p N n p .
5| . . . . n . . .
4| P P . . P . . .
3| . Q N . B P . .
2| . . . . B . P P
1| . R R . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 19","['e8e6 b4b5 a6b5 c3b5 c8c1', 'f7e6 b4b5 a6b5 e2b5 e8e7']","['1.64 (centipawns)', '2.08 (centipawns)']",e8e6
"8| . . . . . R . .
7| . . . . . . . .
6| . . . . k . p .
5| . . . . b . . p
4| . . . . N . . .
3| . . . . B . . P
2| r . . . . . P .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 38","['g1f1 e6e7 f8f3 a2a1 f1e2', 'e4g5 e6d7 f8f7 d7e8 f7f1', 'f8f1 e6d5 e4g5 e5g3 e3f4', 'f8f3 e6d5 e4d2 d5e6 e3g5']","['4.18 (centipawns)', '4.23 (centipawns)', '4.27 (centipawns)', '4.21 (centipawns)']",g1f1
"8| r . . . k . . r
7| . p p q . p p p
6| p . . . . n . .
5| . . . . . . B .
4| . . B p P . . .
3| b . . . . Q . .
2| P P P . . P P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 15","['g5f6 g7f6 f3f6 e8g8 f6g5', 'f3a3 h7h6 g5d2 d7d6 a3a4']","['0.00 (centipawns)', '-0.85 (centipawns)']",g5f6
"8| r n . . . k . r
7| p p . . b p p p
6| . . . . . n . .
5| . . . q p . . .
4| . . . P . . . .
3| . . . B . . . .
2| P P Q . . P N P
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 14","['b8c6 d4e5 c6e5 d3e2 e5c6', 'b8d7 d4e5 d7e5 d3e2 e5c6', 'e5d4 c2c8 d5d8 c8b7 b8d7', 'd5d4 c2c8 d4d8 c8b7 b8d7']","['-0.29 (centipawns)', '-0.24 (centipawns)', '-0.29 (centipawns)', '-0.07 (centipawns)']",b8c6
"8| r . b q k b n r
7| p p . . . p p p
6| . . n . p . . .
5| . . . p . . . .
4| Q . . . . . . .
3| . . . . . N P .
2| P P P . P P B P
1| R N B . K . . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 6","['c8d7 e1g1 g8f6 a4f4 a8c8', 'g8f6 c2c4 f8c5 e1g1 e8g8', 'f8c5 c2c4 g8f6 e1g1 e8g8', 'd8c7 c1f4 c7b6 a4b3 f8e7']","['-0.28 (centipawns)', '0.06 (centipawns)', '0.13 (centipawns)', '0.11 (centipawns)']",c8d7
"8| r . b q . r k .
7| p p p . b p p p
6| . . n . . . . .
5| . . . n . . . .
4| . . B P . . . .
3| . . N . . N . .
2| P P . . . P P P
1| R . B Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 10","['c8e6 c4b3 d8d7 f1e1 f8e8', 'd5b6 c4b3 c8g4 h2h3 g4f3', 'd5c3 b2c3 c8f5 a2a4 e7d6', 'c6b4 f1e1 c8e6 c4b3 c7c6']","['0.07 (centipawns)', '0.16 (centipawns)', '0.14 (centipawns)', '0.29 (centipawns)']",c8e6
"8| r . b q k b . r
7| p . . p . . . .
6| . p n . p n . p
5| . . p . . . p .
4| P . . . P . . .
3| . . P . B P . .
2| . P . . . . P P
1| R N . Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 9","['b1a3 c8b7 d1c2 d8e7 g1e2', 'g1h3 c8b7 b1a3 d7d5 a4a5', 'd1c2 d8c7 b1a3 a7a6 g1e2', 'f1d3 d7d5 e4d5 e6d5 d3g6']","['-0.07 (centipawns)', '0.16 (centipawns)', '-0.04 (centipawns)', '-0.19 (centipawns)']",b1a3
"8| r . . . r . . .
7| p p . . . . k p
6| . . . . . . p .
5| . . . . P . P .
4| . . B . . . . .
3| . P . . . . n .
2| P . . . . . K .
1| R . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 26","['g3e4 c4d5 e4g5 d5b7 a8d8', 'g3f5 a1e1 e8e7 e5e6 a8e8']","['-6.58 (centipawns)', '-6.31 (centipawns)']",g3e4
"8| r n b q k b . r
7| p p p . . p p p
6| . . . . p n . .
5| . . . p . . . .
4| . . P P . . . .
3| . . . . . . P .
2| P P . . P P . P
1| R N B Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 4","['f1g2 f8b4 c1d2 a7a5 d1c2', 'g1f3 f8b4 c1d2 b4e7 f1g2']","['0.30 (centipawns)', '0.14 (centipawns)']",f1g2
"8| r n . . . r k .
7| p p . . q p . p
6| . . p . . . p B
5| . . . p . . . .
4| . . . P . . . .
3| . . P B . . . b
2| P P . . . P P P
1| R N . . K . . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 19","['e1d1 h3g2 h6f8 g8f8 h1e1', 'e1f1 f8e8 b1d2 e7e6 f1g1', 'e1d2 e7h4 h6e3 h3g2 h1g1', 'h6e3 f7f5 e1g1 f5f4 e3d2']","['-6.83 (centipawns)', '-6.60 (centipawns)', '-6.95 (centipawns)', '-7.35 (centipawns)']",e1d1
"8| . . k r . q . r
7| p p . . . . . p
6| . p . p R . . .
5| . . . P . . . .
4| . . B . . p p P
3| . . . . . . . .
2| P P . . . P P .
1| R . . Q . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['d1d4 h7h5 c4d3 f4f3 g2g3', 'd1g4 c8b8 a1e1 h8g8 g4f3']","['5.11 (centipawns)', '5.39 (centipawns)']",d1d4
"8| . . r . . . k .
7| . . . . . p p .
6| . . . . . n . p
5| . . . q N . r .
4| R . p P . . . .
3| . . P . . . P .
2| . . . . Q P P .
1| R . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 32","['a4c4 c8c4 e5c4 d5e4 c4e3', 'g3g4 c8e8 a4a5 d5e6 a5a6']","['3.40 (centipawns)', '3.67 (centipawns)']",a4c4
"8| r n b . . b n r
7| . . . . . . p .
6| . . p q . . k .
5| . p . . . . N p
4| p . . . P . . P
3| . . . . . Q . .
2| P P P . . P P .
1| R N B . K . . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 11","['g8h6 b1c3 c8g4 f3e3 b8a6', 'g8f6 c1f4 d6e7 f3g3 b8d7', 'd6f6 f3g3 a4a3 f2f4 g8h6']","['-1.34 (centipawns)', '-0.26 (centipawns)', '0.00 (centipawns)']",g8h6
"8| . r . q . r k .
7| . . . . . p b .
6| . . . p p n p B
5| . p . N . . . .
4| . . . P . . . .
3| . . . B . N . P
2| P P P Q . P P .
1| R . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 17","['e6d5 h6g5 d8b6 d2f4 f6h5', 'f6d5 f1e1 b5b4 h6g5 d8b6']","['5.78 (centipawns)', '5.78 (centipawns)']",e6d5
"8| r . b q r . k .
7| p p . . . p p p
6| . . . b . n . .
5| . . . p N . . .
4| . . . . . . . .
3| . . P . . . B .
2| P P Q . B P P P
1| R N . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 12",['d6e5 g3e5 e8e5 e2d3 d5d4'],['0.05 (centipawns)'],d6e5
"8| . . . . . . k .
7| . . p . . . . p
6| . p . b . . . .
5| p . . . . . q .
4| . . . . p . . .
3| P . . . P . . P
2| . P . . . . P .
1| . . . . B R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 31","['g5e3 e1h4 e3d3 f1e1 e4e3', 'g5e5 f1f4 e5b2 f4g4 g8f7', 'g5b5 h1g1 d6h2 g1h2 b5f1']","['-7.70 (centipawns)', '-7.76 (centipawns)', '-7.37 (centipawns)']",g5e3
"8| . . . . . Q . .
7| p . . . . . . p
6| . . . . . . p .
5| . . . p N . . k
4| . . . . . . . .
3| . . . . . . . P
2| q . . . . r P .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 33","['g2g4 h5g5 h3h4 g5h4 f8h6', 'f8f2 a2a1 f2f1 a1e5 f1f7']","['0.00 (centipawns)', '-1.05 (centipawns)']",g2g4
"8| . . . . . . . .
7| . . . . . . . .
6| . . . . . . . .
5| . . k . p . . .
4| . . . b P p . N
3| . . p . . P . P
2| . . P . . . P .
1| . . . K . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 47","['d1e2 d4g1 h4f5 c5c6 h3h4', 'h4f5 c5b4 d1e2 b4a4 e2d3']","['7.17 (centipawns)', '7.28 (centipawns)']",d1e2
"8| r . . . . r k .
7| p p . b p p . p
6| . . . . . b p .
5| q . P . . . . .
4| . . . . . . . .
3| . . P B P . . .
2| P . . . N P P P
1| R . . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 14","['d3g6 h7g6 d1d7 a8b8 a1b1', 'a1b1 d7a4 d1c1 f8d8 d3e4', 'a2a4 f8d8 d1b1 a5c5 b1b7']","['0.21 (centipawns)', '-0.22 (centipawns)', '-0.61 (centipawns)']",d3g6
"8| . . . . . . . .
7| . . p . . . . .
6| . p . p k . . .
5| p . . . . . . .
4| . . . N P p . r
3| . . . P . K n .
2| P P P . . . . .
1| R . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 39","['e6e5 d4c6 e5e6 c6d4 e6e5', 'e6d7 a1g1 a5a4 a2a3 c7c5']","['0.23 (centipawns)', '0.32 (centipawns)']",e6e5
"8| r . . . . . . .
7| . . . . . k . p
6| . . . . . . . .
5| . . p . B . . .
4| p . P . . . . .
3| . . . . . . . .
2| . P P K . . P P
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 32","['d2c3 f7e6 e5f4 e6d7 g2g3', 'e5f4 a8d8 d2c3 f7e6 f4e3', 'g2g3 f7e6 e5f4 e6f5 d2c3', 'd2d3 a8d8 d3c3 f7e6 e5f4']","['-1.19 (centipawns)', '-1.25 (centipawns)', '-1.97 (centipawns)', '-1.69 (centipawns)']",d2c3
"8| . . . r q r k .
7| p b . . b p p p
6| . p . . p n . .
5| . . p . . . . .
4| . . . N . . P P
3| . . N B B P . .
2| P P P . . Q . .
1| . . K R R . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 15",['c5d4 e3d4 e8c6 g4g5 f6h5'],['0.23 (centipawns)'],c5d4
"8| . . . . . . r .
7| . . . k p . . .
6| p . p . . . . b
5| . . . . . . . p
4| . . . P p p p B
3| . . P . . . . .
2| P P . . . P P P
1| R . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 22","['e4e3 f2e3 f4e3 e1e2 g8b8', 'e7e6 e1e4 g8f8 e4e5 f8f5']","['5.51 (centipawns)', '7.09 (centipawns)']",e4e3
"8| . . . . . . . .
7| . . . . . . . .
6| p k . . . . . .
5| N p . . . p . p
4| . . . p . b . .
3| P P . K . P . P
2| . . . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 47",['b3b4 f4c1 d3d4 c1a3 d4c3'],['-3.48 (centipawns)'],b3b4
"8| . . r . . . . .
7| . p p . . . . k
6| . p . . . . . p
5| . P n . N p p .
4| . . . . . . . .
3| P . . . n P . .
2| . B . . . . P P
1| . . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 5
- Fullmove number: 36","['f5f4 e5g4 c5d3 e1e2 e3g4', 'e3d5 e1e2 c8a8 e2d2 d5e3', 'c5a4 e1e3 a4b2 e5d3 b2c4']","['-1.42 (centipawns)', '-0.57 (centipawns)', '-0.59 (centipawns)']",f5f4
"8| r n . q k b n r
7| p p p . p p p p
6| . . . . . . . .
5| . . . . . b N Q
4| . . . . p . . .
3| . . . . . . . .
2| P P P P . P P P
1| R N B . K B . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 4","['f5g6 h5e2 b8c6 g5e4 c6d4', 'g7g6 h5h4 b8c6 g5e4 g6g5']","['-2.16 (centipawns)', '-1.77 (centipawns)']",f5g6
