board,trajectories,evaluations,best_move
"8| . . . . . k . .
7| . p . P . . p p
6| p b . p . . . .
5| P . . . p . . .
4| . P . . . . . .
3| . . . . . . . P
2| . . . P . P P .
1| . . . . . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 27","['b6d8 f1e1 f8e7 d2d4 e7d7', 'b6c7 f1c1 c7d8 c1c8 f8e7']","['-4.35 (centipawns)', '-5.41 (centipawns)']",b6d8
"8| . . . r . . . .
7| p k p . . . R .
6| . . . . . . . .
5| . p . . . p . .
4| . . b . . . . r
3| . . n . P . . .
2| . P . . . . . .
1| . . K . . . R .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 28","['b2c3 d8d3 g1g2 d3c3 c1d2', 'c1c2 c3e4 g1g2 d8d3 g7e7']","['-7.97 (centipawns)', '-10.83 (centipawns)']",b2c3
"8| r . . q k . . r
7| p p . . b p p p
6| . . n . p n . .
5| . B p p . . . .
4| . . . . . P b .
3| . P . P P N . .
2| P B P . . . P P
1| R N . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 8","['a8c8 h2h3 g4f3 d1f3 e8g8', 'd8c8 b1d2 a7a6 b5c6 c8c6', 'e8g8 b5c6 b7c6 b1d2 f6d7', 'd8d7 b1d2 a7a6 b5c6 d7c6']","['-0.27 (centipawns)', '-0.33 (centipawns)', '-0.47 (centipawns)', '-0.36 (centipawns)']",a8c8
"8| r . . . r k . .
7| p . b . . p . p
6| . p p . p . . .
5| . . P p . . . .
4| . . . . P . . .
3| . . N B R . . .
2| P P . . . P P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['e4d5 c6d5 c3b5 c7d8 c5c6', 'c5b6 a7b6 e4d5 c6d5 e3e2', 'e3e2 b6c5 b2b3 e8b8 g2g3', 'e3h3 b6c5 b2b3 c7e5 f1c1']","['4.68 (centipawns)', '4.66 (centipawns)', '4.01 (centipawns)', '3.83 (centipawns)']",e4d5
"8| . r . . . . k .
7| . . . . . p . .
6| p . . . . . . p
5| . p . . . . p .
4| . . b . . . . .
3| . . B . . . P .
2| . . . . . P . P
1| R . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 35","['a1a6 b8d8 f2f4 g8h7 f4g5', 'c3e5 b8a8 e5c3 g5g4 c3b4']","['-0.68 (centipawns)', '-3.20 (centipawns)']",a1a6
"8| r . . q . r k .
7| p p p . n p . p
6| . . . . . p b b
5| . . . P p . . .
4| . . B . P . . .
3| P . N . . . . P
2| . P . . N P P .
1| R . . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 12","['f6f5 f1e1 f5e4 e2g3 e4e3', 'a7a6 g2g4 h6g5 e2g3 g8h8']","['0.92 (centipawns)', '-0.54 (centipawns)']",f6f5
"8| . . r . r . k .
7| . p p . . p p n
6| . p . p . n . p
5| . P . P . . . .
4| . . . . P . . B
3| P . . . . . . .
2| . . . N . P P P
1| R . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['f6d7 d2c4 g7g5 h4g3 f7f5', 'c8a8 f2f3 f6d7 d2c4 h7f8', 'h6h5 f2f3 f6d7 d2c4 h7f8', 'g8f8 f2f3 f6d7 d2c4 c8a8']","['0.17 (centipawns)', '-0.34 (centipawns)', '-0.38 (centipawns)', '-0.53 (centipawns)']",f6d7
"8| r . . . k b n r
7| p p . b . p p p
6| . . n . p . . .
5| . . p p . . . .
4| . . . P . . . .
3| P . P . P . P .
2| . q . B N P B P
1| R N . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 9","['b2a1 c3c4 g8f6 c4d5 e6d5', 'g8f6 c3c4 b2a1 e2c3 a1b2', 'a8c8 c3c4 b2a1 c4d5 e6d5', 'f8e7 c3c4 b2a1 c4d5 e6d5']","['3.84 (centipawns)', '3.82 (centipawns)', '3.04 (centipawns)', '2.84 (centipawns)']",b2a1
"8| . . . . k . . r
7| . . . p . p . .
6| . . n . p . . .
5| . . . b P . p p
4| . . p P . . . .
3| P . . . . N . P
2| . . . . B P P .
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 22","['g5g4 h3g4 h5g4 f3h2 c6d4', 'h5h4 f1c1 e8e7 f3g5 c6d4', 'h8f8 f3g5 c6d4 e2h5 c4c3', 'e8e7 f1c1 h8c8 c1c3 h5h4']","['3.78 (centipawns)', '2.95 (centipawns)', '2.79 (centipawns)', '3.14 (centipawns)']",g5g4
"8| . . . . r r k .
7| p . p . . . p .
6| . p . . . q . .
5| . . . R . p p .
4| . P P . . P . .
3| P . . . p . P .
2| . . . . Q . . P
1| . . . R . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 26","['f4g5 f6g5 c4c5 b6b5 d1f1', 'd1f1 g5f4 f1f4 e8e4 f4f3', 'd5d4 g5f4 d4f4 e8e5 f4d4']","['-1.79 (centipawns)', '-2.74 (centipawns)', '-2.59 (centipawns)']",f4g5
"8| r n . q k . n r
7| p b p p . p p p
6| . p . . p . . .
5| . N . . . . . .
4| . b . P . B . .
3| . . . . . . . .
2| P P P . P P P P
1| R . . Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 5","['c2c3 b4d6 f4d6 c7d6 b5d6', 'f4d2 b4d2 d1d2 g8f6 d2f4']","['3.13 (centipawns)', '-0.42 (centipawns)']",c2c3
"8| . . . . r . k .
7| p p p . . p . p
6| . . . . . . p .
5| . . . . n . . .
4| . . . . . . . .
3| . . Q . . . . N
2| P P . . . K P P
1| . . . . R . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 20","['f7f6 f2f1 e8e7 h3f2 e7f7', 'e5g4 f2g1 g4f6 e1e8 f6e8', 'h7h6 e1e5 e8d8 e5e2 d8f8', 'e5d3 c3d3 e8f8 e1e7 a7a5']","['-7.72 (centipawns)', '-7.73 (centipawns)', 'Mate in -12', '-10.65 (centipawns)']",f7f6
"8| . . . . . . . .
7| . p . . . . . .
6| p . . . . . k p
5| . . . . . p p .
4| . . . . . . . P
3| . . P . B n P .
2| P P . . K . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 40","['f3e5 h4g5 h6g5 e3d4 g6f6', 'f3h2 h4g5 h6g5 a2a4 h2g4', 'g5g4 e3f4 h6h5 e2e3 g6f6', 'f3h4 g3h4 f5f4 e3b6 g6f5']","['0.06 (centipawns)', '0.07 (centipawns)', '-0.39 (centipawns)', '-3.77 (centipawns)']",f3e5
"8| . . k . . b . r
7| p r . . . . n .
6| . . N . . . . p
5| . P p R p . . .
4| P . . . . . . .
3| . . . . . . . .
2| . P . . . . P P
1| . . K . R . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 28","['d5d8 c8c7 e1e5 c7b6 d8a8', 'a4a5 f8e7 a5a6 b7c7 c1b1']","['1.92 (centipawns)', '0.54 (centipawns)']",d5d8
"8| r . b . . r k .
7| . p p . n . p p
6| p q p . . p . .
5| . . . . . P . .
4| . . . . P B . .
3| . . N . . . . .
2| P P P . . . P P
1| R . . Q . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 14","['d1f3 c8d7 f3g3 c6c5 f4c7', 'f1f3 g8h8 f3d3 e7g8 a1b1', 'd1d3 c6c5 d3g3 b6c6 a1d1', 'a2a3 c6c5 f1f3 b6c6 f3h3']","['2.98 (centipawns)', '2.75 (centipawns)', '2.78 (centipawns)', '2.66 (centipawns)']",d1f3
"8| . k . . . b r .
7| . q . r n . . .
6| . p . p N . . p
5| . P . . p P . .
4| . . N . . . p .
3| . . . . . . P .
2| . Q . . . P . P
1| R . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 27","['e7f5 a1a6 f5g7 a6b6 g7e6', 'e7d5 a1a6 e5e4 f1a1 f8g7', 'e7c8 a1a6 g8g6 f5g6 d7c7', 'e5e4 a1a6 e7c8 f1a1 f8g7']","['-7.43 (centipawns)', '-7.68 (centipawns)', '-9.12 (centipawns)', '-7.68 (centipawns)']",e7f5
"8| . . . . r . k .
7| p r . . . p p .
6| . . . . . . . p
5| . . . . . . . .
4| . . . . R . . .
3| . . . . . . . .
2| P P . . . P P b
1| R . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 23","['g1h2 e8e4 b2b3 g8h7 a1d1', 'g1h1 e8e4 h1h2 b7b2 f2f3', 'g1f1 e8e4 b2b3 h2f4 a1d1']","['-6.73 (centipawns)', '-6.93 (centipawns)', '-7.49 (centipawns)']",g1h2
"8| . r . . . . . b
7| . . . . . . k .
6| . . n N . . b p
5| . p . . . . p n
4| . P . . . . . .
3| . . . . . P . .
2| . . . . . B P P
1| . . . R R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 26","['d1d5 h5f4 d5b5 b8b5 d6b5', 'e1e6 h5f4 d6f5 g6f5 e6c6', 'f2c5 g7g8 d6e4 c6e5 d1d6', 'h2h4 h5f4 h4g5 h6g5 f2c5']","['0.00 (centipawns)', '-0.03 (centipawns)', '-0.08 (centipawns)', '-0.03 (centipawns)']",d1d5
"8| r . . q . r k .
7| . . . . p p b p
6| p . . p . n p .
5| . p . . n . . .
4| . . . p P . . .
3| . . N . B . . P
2| P P P Q B P P .
1| R . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 14","['d2d4 e5c6 d4d1 f6d7 d1d2', 'e3d4 e5c6 d4e3 b5b4 c3a4']","['-0.08 (centipawns)', '-0.25 (centipawns)']",d2d4
"8| . . . r . . . k
7| p . q r . p p .
6| . p . . p . . .
5| . . . . . . . .
4| . . P B Q . . .
3| . P . . . . . .
2| P . . . . P P P
1| . R . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 23","['d7d4 e4f3 d4d3 f3h5 h8g8', 'c7d6 d4e3 h8g8 b1e1 e6e5']","['-0.11 (centipawns)', '-4.90 (centipawns)']",d7d4
"8| r n b q k b . r
7| p p p p . p p p
6| . . . . p n . .
5| . . . . . . . .
4| . . . P . . . .
3| . . N . . . . .
2| P P P . P P P P
1| R . B Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 3","['e2e4 d7d5 c1g5 d5e4 c3e4', 'a2a3 d7d5 c1f4 c7c5 e2e3', 'g1f3 d7d5 c1g5 f8e7 e2e3', 'd1d3 d7d5 e2e4 c7c5 e4d5']","['0.34 (centipawns)', '-0.21 (centipawns)', '-0.14 (centipawns)', '0.13 (centipawns)']",e2e4
"8| . . . . . b . .
7| p k . n . . p p
6| . p . . . p . .
5| . . . . p P . .
4| . R . . P . . P
3| . . . B B . P .
2| . . . . . . . .
1| . . r . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 34","['e3c1 f8b4 g1f1 b7c6 d3c4', 'g1f2 c1c3 d3b5 f8b4 b5d7']","['-3.13 (centipawns)', '-6.17 (centipawns)']",e3c1
"8| r n b q k b n r
7| p p p . . p p p
6| . . . . p . . .
5| . . . p . . . .
4| . . . . . . . .
3| . . P . P . . .
2| P P . P . P P P
1| R N B Q K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 3","['d2d4 g8f6 g1f3 b8d7 f1e2', 'f1e2 f8d6 d2d4 g8f6 g1f3', 'd2d3 g8f6 f2f4 c7c5 g1f3', 'g1f3 g8f6 d2d4 b8d7 b1d2']","['-0.21 (centipawns)', '-0.22 (centipawns)', '-0.39 (centipawns)', '-0.13 (centipawns)']",d2d4
"8| . . . . . . . .
7| p . p . . p p .
6| . p P . . n . p
5| . . . . K . . P
4| . k . . . P . .
3| . . . . . . . .
2| . P . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 35","['b4a5 b2b3 a5b4 e5d4 b4b3', 'b4c5 f4f5 c5c4 e5f4 c4b3', 'a7a5 e5d4 b4b3 d4d3 f6h5', 'f6g4 e5d4 g4f6 d4e3 b4b3']","['Mate in 18', 'Mate in 19', 'Mate in 18', 'Mate in 20']",b4a5
"8| . . . . . r k .
7| p p . R . p p .
6| . . . . . . . .
5| . . p . p . . b
4| . . . . P . . .
3| . . N . . . . P
2| P P P . . P . .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 22","['b7b5 d7c7 b5b4 c3d5 h5f3', 'f8b8 g1g2 f7f6 d7c7 c5c4', 'f7f6 d7b7 f8f7 b7f7 g8f7']","['-0.58 (centipawns)', '-1.28 (centipawns)', '-1.74 (centipawns)']",b7b5
"8| . . . . . . . .
7| . . . . . . . .
6| . p p p . . . .
5| p N . . k . . .
4| . . . . P p . r
3| . . . P . K n .
2| P P P . . . . .
1| R . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 41","['b5a7 c6c5 a1e1 h4h2 a7c6', 'd3d4 e5e6 b5c3 g3h5 a1e1', 'b5c3 h4h2 a1d1 h2c2 d3d4', 'b5a3 b6b5 c2c3 h4h2 d3d4']","['0.01 (centipawns)', '0.04 (centipawns)', '-0.06 (centipawns)', '-0.09 (centipawns)']",b5a7
"8| . . k . r . . r
7| p p . q . . p .
6| . . p . . P . .
5| . . n p . . . .
4| P . . . . . P p
3| . Q P . P P . .
2| . P . N K . . P
1| R . . . . R . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 25","['b3b4 c5e6 f6g7 d7g7 h2h3', 'b3a3 c5e6 f6g7 d7g7 e2d1', 'b3c2 g7f6 b2b4 c5e6 e2f2', 'b3a2 g7f6 a2b1 d7e7 b1f5']","['0.41 (centipawns)', '0.51 (centipawns)', '0.21 (centipawns)', '-0.56 (centipawns)']",b3b4
"8| . . . . . r . .
7| . . . . . . . k
6| . . R . . P p p
5| . . . . . . . .
4| p . . . . . . B
3| p . P . . . . .
2| P . B . . . P P
1| . . . . . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 35","['f6f7 h6h5 c6g6 f8e8 g6g8', 'c2e4 f8f7 f1e1 h6h5 e4c2', 'c6d6 h7g8 c2g6 h6h5 d6d7', 'f1a1 h6h5 a1f1 h7g8 c2g6']","['Mate in 2', 'Mate in 6', 'Mate in 5', 'Mate in 6']",f6f7
"8| r n . q k . n r
7| p p . . . . b p
6| . . p . . . p .
5| . . . p p b . .
4| . . . . . . . .
3| . . N P . Q . .
2| P P P . . P P P
1| R . B . K B N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 8","['g2g4 f5e6 f3g3 g8f6 h2h4', 'f3d1 c6c5 c3e2 g8e7 e2g3', 'h2h4 h7h5 f3g3 c6c5 g1f3', 'g2g3 g8h6 f3e2 e8g8 f1g2']","['-1.13 (centipawns)', '-1.01 (centipawns)', '-0.74 (centipawns)', '-1.33 (centipawns)']",g2g4
"8| . . . r . . n r
7| p . p k . p p p
6| . . p . p . . .
5| . . b . . q N .
4| . . . . . P . .
3| P . . P . . . .
2| . P P B . . P P
1| R . . Q . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 15","['g8e7 g2g4 f5d5 f1f3 d7e8', 'c5d4 c2c3 d4b6 d3d4 d7e8', 'h7h5 d2c3 f5g6 g5f3 c5d6', 'c5d6 c2c4 h7h5 d1a4 h5h4']","['-2.24 (centipawns)', '-2.26 (centipawns)', '-1.76 (centipawns)', '-2.44 (centipawns)']",g8e7
"8| . . K . . . . .
7| . . . . . . . .
6| . . . . . . . .
5| . r . . . . . .
4| . . . . . . . .
3| k . . . . . . .
2| . . . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 54","['b5d5 c8c7 a3b4 c7c6 d5d2', 'a3b3 c8d7 b5e5 d7d6 e5e8', 'b5b3 c8d7 b3e3 d7d6 a3b4', 'a3b2 c8d7 b5e5 d7c6 e5e2']","['Mate in 6', 'Mate in 13', 'Mate in 12', 'Mate in 13']",b5d5
"8| r . . . k . . r
7| . p p . b p p p
6| . . q p b n . .
5| . . . . p . . .
4| p P P . P . . P
3| . . . P B P P .
2| P . . . N . B .
1| R . . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 15","['e8g8 a1c1 c6a6 g3g4 b7b5', 'f6h5 a1c1 h7h6 b4b5 c6d7', 'b7b5 e2c3 b5c4 b4b5 c6d7', 'h7h5 e2c3 e8g8 b4b5 c6e8']","['-0.40 (centipawns)', '-0.97 (centipawns)', '-0.54 (centipawns)', '-0.60 (centipawns)']",e8g8
"8| r . . . . . . .
7| p p p k b . . .
6| . . n p . p . .
5| . . . . . . . .
4| . . . . b . . .
3| . . Q . P . P .
2| P P P B . P . .
1| R N . . . K N q
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 22","['f1e2 h1g1 d2e1 e4g6 c3b3', 'c3c4 c6e5 c4b5 e4c6 b1a3', 'd2c1 h1g2 f1e2 g2g1 c1d2']","['-5.80 (centipawns)', '-7.43 (centipawns)', '-6.92 (centipawns)']",f1e2
"8| . r . . . . k .
7| Q . . . . . p .
6| . . . . q . . p
5| . . . . . . . P
4| . p r . p R . .
3| . . . p P . P .
2| . P . R . P . .
1| . K . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 31","['b8c8 b2b3 c4c7 a7a4 c7c1', 'e6c8 a7f7 g8h8 d2d1 d3d2']","['Mate in 9', '8.81 (centipawns)']",b8c8
